Highest Offense Description,Latitude,Longitude,year
THEFT,30.20378944,-97.78792573,2024
ASSAULT WITH INJURY,30.27415405,-97.69856929,2024
POSSESSION OF MARIJUANA,30.25714284,-97.74687931,2024
THEFT,30.20200809,-97.6668813,2024
DOC FIGHTING,30.26735144,-97.73909331,2024
FAMILY DISTURBANCE,30.36620826,-97.74364038,2024
FAMILY DISTURBANCE,30.19862749,-97.78338206,2024
UNLAWFUL CARRYING WEAPON,30.36486901,-97.69600225,2024
DWI 2ND,30.29758453,-97.64427885,2024
AUTO THEFT,30.22321311,-97.72145383,2024
THEFT,30.41400576,-97.7086714,2024
DISTURBANCE - OTHER,30.17443812,-97.79234541,2024
AUTO THEFT,30.34050756,-97.71944184,2024
ASSAULT BY CONTACT,30.28423787,-97.67186382,2024
AUTO THEFT,30.1683339,-97.78259876,2024
THEFT,30.40054942,-97.85051201,2024
DISTURBANCE - OTHER,30.30318897,-97.64384375,2024
FAMILY DISTURBANCE/PARENTAL,30.26093935,-97.78854811,2024
TERRORISTIC THREAT,30.21389554,-97.77805793,2024
FAMILY DISTURBANCE,30.1974094,-97.78989537,2024
POSSESSION OF MARIJUANA,30.23091566,-97.7336994,2024
CRIMINAL MISCHIEF,30.26386181,-97.76327626,2024
SEXTING DEPICTING A MINOR,,,2024
DISTURBANCE - OTHER,30.27260791,-97.65082723,2024
DISTURBANCE - OTHER,30.30318897,-97.64384375,2024
CRIMINAL TRESPASS,30.226247,-97.7873022,2024
CRIMINAL MISCHIEF,30.14913464,-97.8052164,2024
AUTO THEFT,30.19061184,-97.7722943,2024
DOC FIGHTING,30.26735144,-97.73909331,2024
CRIMINAL MISCHIEF,30.30046387,-97.71965158,2024
CRIMINAL MISCHIEF,30.30046387,-97.71965158,2024
THEFT,30.23581695,-97.72262067,2024
IDENTITY THEFT,30.3103069,-97.72097629,2024
FAMILY DISTURBANCE,30.33880876,-97.6025609,2024
POSS CONTROLLED SUB/NARCOTIC,30.36740608,-97.70624761,2024
POSS OF DRUG PARAPHERNALIA,30.37017354,-97.69301516,2024
ROBBERY BY ASSAULT,30.39158491,-97.72121388,2024
CUSTODY ARREST TRAFFIC WARR,30.23231434,-97.73689245,2024
CRIMINAL TRESPASS,30.23741764,-97.75507298,2024
DWI  .15 BAC OR ABOVE,30.28844659,-97.65986944,2024
AUTO THEFT,30.1974094,-97.78989537,2024
CRIMINAL TRESPASS,30.22967724,-97.73014105,2024
FAMILY DISTURBANCE,30.43169741,-97.65375967,2024
POSSESSION OF MARIJUANA,30.34602065,-97.69666978,2024
CRIMINAL TRESPASS,30.26373894,-97.74365146,2024
FAMILY DISTURBANCE,30.24824713,-97.7739367,2024
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.23778251,-97.83018042,2024
FAMILY DISTURBANCE,30.41522742,-97.84737003,2024
ROBBERY BY THREAT,30.21691198,-97.73632475,2024
RESISTING ARREST OR SEARCH,30.26708588,-97.74010486,2024
BURGLARY OF VEHICLE,30.37775164,-97.77876289,2024
FAMILY DISTURBANCE,30.18324712,-97.74837613,2024
THEFT,30.23367931,-97.72326443,2024
THEFT,30.24131642,-97.72837017,2024
FAMILY DISTURBANCE,30.45803812,-97.78964121,2024
AGG ROBBERY/DEADLY WEAPON,30.31210219,-97.70815264,2024
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21564625,-97.73928174,2024
ASSAULT WITH INJURY,30.30030617,-97.7340775,2024
TERRORISTIC THREAT,30.25858957,-97.78766592,2024
BURGLARY OF VEHICLE,30.24759013,-97.77188869,2024
AIRPORT PLACES WEAPON PROHIBIT,30.20200809,-97.6668813,2024
TERRORISTIC THREAT,30.3522535,-97.69281751,2024
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.21531609,-97.73968329,2024
ASSAULT WITH INJURY,30.320549,-97.71018957,2024
HARASSMENT,30.23292613,-97.79014143,2024
POSSESSION OF MARIJUANA,30.2660221,-97.73741806,2024
RESISTING ARREST OR SEARCH,30.41934013,-97.74789664,2024
DISTURBANCE - OTHER,30.21961652,-97.80495825,2024
AUTO THEFT,30.26020456,-97.73793249,2024
FAMILY DISTURBANCE,30.29031069,-97.74586691,2024
CRIMINAL MISCHIEF,30.37260959,-97.70825329,2024
FAMILY DISTURBANCE/PARENTAL,30.23597678,-97.71859048,2024
ASSAULT BY THREAT,30.26366923,-97.7711009,2024
FORGERY - OTHER,30.36679701,-97.69560063,2024
BURGLARY OF VEHICLE,30.24789327,-97.75532864,2024
AUTO THEFT,30.32956324,-97.74258216,2024
BURGLARY NON RESIDENCE,30.26239591,-97.72516852,2024
DAMAGE CITY VEHICLE,30.23367852,-97.72349567,2024
DOC FIGHTING,30.26681319,-97.73926936,2024
FRAUD - OTHER,,,2024
THEFT,,,2024
FAMILY DISTURBANCE,30.37459523,-97.66757151,2024
BURGLARY OF RESIDENCE,30.3319926,-97.57964242,2024
CRIMINAL MISCHIEF,30.18829295,-97.77819365,2024
POSS CONTROLLED SUB/NARCOTIC,30.42993796,-97.76258333,2024
AUTO THEFT,30.29557521,-97.73555191,2024
THEFT,30.19061184,-97.7722943,2024
THEFT,30.24633121,-97.78129556,2024
CRIMINAL MISCHIEF,30.32062307,-97.70668758,2024
THEFT,30.24749294,-97.77032952,2024
POSS CONTROLLED SUB/NARCOTIC,30.27863242,-97.73050353,2024
DWI  .15 BAC OR ABOVE,30.10725591,-97.8096516,2024
FAMILY DISTURBANCE,30.1511005,-97.78756634,2024
THEFT,30.30046387,-97.71965158,2024
AUTO THEFT,30.41099793,-97.69999831,2024
CUSTODY ARREST TRAFFIC WARR,30.23433699,-97.71398508,2024
BURGLARY OF VEHICLE,30.26366923,-97.7711009,2024
BURGLARY OF VEHICLE,30.2253837,-97.75214159,2024
BURGLARY OF RESIDENCE,30.24471566,-97.77352029,2024
POSS CONTROLLED SUB/NARCOTIC,30.22245821,-97.70968333,2024
AUTO THEFT,30.39370099,-97.73929464,2024
BURGLARY NON RESIDENCE,30.43592699,-97.76967305,2024
HARASSMENT,30.14277646,-97.78706724,2024
EVADING / FOOT,30.24944458,-97.69441558,2024
POSS CONTROLLED SUB/NARCOTIC,30.25866877,-97.71543819,2024
COUNTERFEITING,30.40083307,-97.72263542,2024
POSS OF FIREARM BY FELON,30.37296526,-97.61493855,2024
POSSESSION OF MARIJUANA,30.26665421,-97.73508807,2024
THEFT,30.35175754,-97.69772123,2024
DWI - CHILD PASSENGER,30.31117055,-97.65092815,2024
DWI  .15 BAC OR ABOVE,30.26378098,-97.73526679,2024
DWI  .15 BAC OR ABOVE,30.44105059,-97.66612682,2024
FAMILY DISTURBANCE,30.24093471,-97.76929355,2024
DISTURBANCE - OTHER,30.2202562,-97.83573648,2024
TERRORISTIC THREAT-MASS CASLTY,30.39242346,-97.74985889,2024
FAMILY DISTURBANCE,30.32592164,-97.74243899,2024
BURGLARY OF VEHICLE,30.44530254,-97.66678052,2024
ARSON,30.35460161,-97.68584592,2024
DISTURBANCE - OTHER,30.21466727,-97.81493315,2024
POSS CONTROLLED SUB/NARCOTIC,30.37820292,-97.74706773,2024
THEFT,30.41358272,-97.67568972,2024
AUTO THEFT,30.22146491,-97.72690401,2024
THEFT OF METAL,30.2159074,-97.70876871,2024
POSSESSION OF MARIJUANA,30.36314082,-97.69702639,2024
CRIMINAL TRESPASS,30.24131642,-97.72837017,2024
AUTO THEFT,30.22842038,-97.70992361,2024
BURGLARY OF VEHICLE,30.27253035,-97.77341965,2024
FAMILY DISTURBANCE,30.3522535,-97.69281751,2024
IDENTITY THEFT,30.14459663,-97.85413359,2024
FAMILY DISTURBANCE,30.37239143,-97.71561186,2024
FAMILY DISTURBANCE,30.35385684,-97.72358024,2024
FAMILY DISTURBANCE/PARENTAL,30.40514245,-97.64220521,2024
AUTO THEFT,30.41940671,-97.72130408,2024
FAMILY DISTURBANCE,30.40949012,-97.69956669,2024
BURGLARY OF VEHICLE,30.23559547,-97.74218892,2024
AUTO THEFT,,,2024
FAMILY DISTURBANCE,30.40732357,-97.64024043,2024
AGG ASSAULT,30.31830072,-97.70623405,2024
TERRORISTIC THREAT,30.17623875,-97.78372911,2024
CRIMINAL MISCHIEF,30.35755418,-97.68938038,2024
DWI,30.35249301,-97.67525444,2024
THEFT,30.39459975,-97.7447116,2024
FAMILY DISTURBANCE,30.31852904,-97.70341904,2024
CHILD CUSTODY INTERFERE,30.4251922,-97.84512316,2024
CRIMINAL TRESPASS,30.26080367,-97.73886053,2024
AGG ASSAULT,30.30455285,-97.68131684,2024
AUTO THEFT,30.21861859,-97.75763959,2024
FAMILY DISTURBANCE,30.1955865,-97.7845293,2024
BURGLARY OF VEHICLE,30.36422769,-97.7158493,2024
CRIMINAL MISCHIEF,30.23571508,-97.74076035,2024
ASSAULT BY THREAT,30.28499064,-97.7478666,2024
HARASSMENT,30.19061848,-97.81226108,2024
AUTO THEFT,30.195777,-97.76488477,2024
TERRORISTIC THREAT,30.32552495,-97.74172679,2024
AUTO THEFT,30.18669213,-97.75814558,2024
UNLAWFUL CARRYING WEAPON,30.35549563,-97.70269337,2024
THEFT,30.24633121,-97.78129556,2024
CHILD CUSTODY INTERFERE,30.45050225,-97.79117025,2024
ASSAULT WITH INJURY,30.24655577,-97.76926468,2024
ASSAULT BY CONTACT,30.23754196,-97.72521259,2024
EVADING / FOOT,30.25699759,-97.72492783,2024
CRIMINAL MISCHIEF,30.30030617,-97.7340775,2024
DATING DISTURBANCE,30.45930579,-97.76297762,2024
FAMILY DISTURBANCE,30.3522535,-97.69281751,2024
DOC DISPLAY GUN/DEADLY PUB PLC,30.19884592,-97.73541723,2024
RESISTING ARREST OR SEARCH,30.26676255,-97.73907745,2024
TERRORISTIC THREAT,30.19345914,-97.74416114,2024
FAMILY DISTURBANCE,30.4178005,-97.68613796,2024
POSS CONTROLLED SUB/NARCOTIC,30.37685798,-97.67336157,2024
DWI,30.2126862,-97.71209896,2024
CRASH/FAIL STOP AND RENDER AID,30.20027974,-97.86446086,2024
INDECENT EXPOSURE,30.31084248,-97.73297902,2024
CRIMINAL MISCHIEF,30.43345341,-97.7709989,2024
VIOL OF EMERG PROTECTIVE ORDER,30.25417648,-97.76512442,2024
FAILURE TO IDENTIFY,30.25327743,-97.73662337,2024
DOC DISCHARGE GUN - PUB PLACE,30.27272192,-97.72198702,2024
AGG ROBBERY/DEADLY WEAPON,30.49449431,-97.78232018,2024
BURGLARY OF VEHICLE,30.32363647,-97.72834156,2024
RESISTING ARREST OR SEARCH,30.26920387,-97.72859043,2024
FAMILY DISTURBANCE,30.2316152,-97.73645832,2024
AGG ASSAULT,30.26763582,-97.74703862,2024
CRIMINAL TRESPASS,30.24109726,-97.74537365,2024
FAMILY DISTURBANCE,30.24075834,-97.76886427,2024
AUTO THEFT,30.31852904,-97.70341904,2024
POSS CONTROLLED SUB/NARCOTIC,30.36980979,-97.68031848,2024
ASSAULT BY CONTACT,30.23769583,-97.73088466,2024
FAMILY DISTURBANCE,30.22438247,-97.72917527,2024
POSS CONTROLLED SUB/OTHER,30.37577494,-97.67564681,2024
ASSAULT WITH INJURY,30.19299708,-97.76505365,2024
CRIMINAL MISCHIEF,30.126344,-97.79983585,2024
INDECENT EXPOSURE,30.22954718,-97.78895401,2024
POSS CONTROLLED SUB/NARCOTIC,30.30490831,-97.74539945,2024
INTERFERING W/EMERG PHONE CALL,30.28029499,-97.75806952,2024
FAMILY DISTURBANCE,30.22437874,-97.74486515,2024
AGG ROBBERY/DEADLY WEAPON,30.36721654,-97.69553841,2024
CRIMINAL MISCHIEF,30.35093474,-97.75574913,2024
THEFT,30.33609033,-97.70047978,2024
DISTURBANCE - OTHER,30.31863508,-97.74716166,2024
BURGLARY OF VEHICLE,30.23407293,-97.86107895,2024
FAMILY DISTURBANCE,30.20067456,-97.77253731,2024
FAMILY DISTURBANCE,30.22863461,-97.70615193,2024
AUTO THEFT,30.17665705,-97.78470887,2024
AGG ROBBERY/DEADLY WEAPON,30.19061184,-97.7722943,2024
ASSAULT BY CONTACT,30.19374872,-97.82685081,2024
THEFT,30.26149352,-97.71208238,2024
DWI 2ND,30.23067453,-97.86412096,2024
VIOL OF PROTECTIVE ORDER,30.32735696,-97.69842583,2024
BURGLARY OF RESIDENCE,30.40166252,-97.63942128,2024
BURGLARY OF VEHICLE,30.33802276,-97.69507465,2024
ASSAULT BY CONTACT,30.37727971,-97.69310926,2024
CRIMINAL MISCHIEF,30.17938079,-97.77579237,2024
AGG ASSAULT,30.28498003,-97.74761336,2024
VIOL OF PROTECTIVE ORDER,30.2290038,-97.70310131,2024
CRIMINAL MISCHIEF,30.27045386,-97.75558487,2024
AGG ASSAULT,30.19723762,-97.7917711,2024
DOC DISCHARGE GUN - PUB PLACE,30.31684209,-97.70055798,2024
BURGLARY NON RESIDENCE,30.37071611,-97.6918489,2024
POSS CONTROLLED SUB/NARCOTIC,30.20847241,-97.78152942,2024
BURGLARY OF VEH-NO SUSPECT/FU,30.31686438,-97.71911858,2024
BURGLARY OF VEHICLE,30.3659152,-97.7872499,2024
THEFT,30.22863461,-97.70615193,2024
CRIMINAL TRESPASS/TRANSIENT,30.2366004,-97.7560102,2024
ASSAULT BY CONTACT FAM/DATING,30.36068155,-97.69112466,2024
BURGLARY OF VEHICLE,30.22098806,-97.6904837,2024
FAMILY DISTURBANCE,30.36211751,-97.70935714,2024
THEFT,30.47105795,-97.79644156,2024
BURGLARY OF RESIDENCE,30.38437347,-97.67568582,2024
ASSAULT WITH INJURY,30.26892573,-97.74240967,2024
FAMILY DISTURBANCE,30.19390665,-97.78014113,2024
FAILURE TO IDENTIFY,30.37425619,-97.67841029,2024
POSS OF DRUG PARAPHERNALIA,30.44313312,-97.66588507,2024
FAILURE TO IDENTIFY,30.33140685,-97.68487489,2024
CRIMINAL TRESPASS,30.31489559,-97.71307903,2024
FRAUD - OTHER,30.19390665,-97.78014113,2024
DISTURBANCE - OTHER,30.2271802,-97.70590961,2024
ASSAULT BY THREAT,30.34904157,-97.75310422,2024
AGG ASLT STRANGLE/SUFFOCATE,30.33140685,-97.68487489,2024
AUTO THEFT,30.1983216,-97.77728251,2024
DWI  .15 BAC OR ABOVE,30.33982675,-97.7016208,2024
THEFT OF LICENSE PLATE,30.22886909,-97.73016283,2024
FAMILY DISTURBANCE,30.3522535,-97.69281751,2024
BURGLARY OF VEHICLE,30.26931142,-97.70342583,2024
ASSAULT BY THREAT,30.37919393,-97.67300529,2024
ASSAULT BY CONTACT FAM/DATING,30.19072803,-97.73953917,2024
FAMILY DISTURBANCE,30.23177893,-97.72016744,2024
BURGLARY NON RESIDENCE,30.20183333,-97.86844232,2024
AUTO THEFT,30.23573665,-97.75067709,2024
DATING DISTURBANCE,30.23208505,-97.77883409,2024
DATING DISTURBANCE,30.32933464,-97.65779477,2024
CRIMINAL TRESPASS,30.18456542,-97.77567097,2024
PROTECTIVE ORDER,,,2024
AGG KIDNAPPING,30.3991423,-97.74684235,2024
POSS OF DRUG PARAPHERNALIA,30.37897165,-97.71244503,2024
CRIMINAL MISCHIEF,30.20059338,-97.78653128,2024
DISTURBANCE - OTHER,30.32791441,-97.73246184,2024
ASSAULT WITH INJURY,30.17396347,-97.81648772,2024
CRIMINAL TRESPASS,30.30505851,-97.743576,2024
CRIMINAL TRESPASS,30.25699759,-97.72492783,2024
CRIMINAL MISCHIEF,30.23509316,-97.71545645,2024
DWI,30.31279605,-97.665294,2024
POSSESSION OF MARIJUANA,30.38191584,-97.68638711,2024
THEFT OF BICYCLE,30.35547286,-97.73354229,2024
FAMILY DISTURBANCE,30.22813316,-97.73116767,2024
POSS CONTROLLED SUB/NARCOTIC,30.36735936,-97.69459247,2024
POSS CONTROLLED SUB/NARCOTIC,30.20200809,-97.6668813,2024
FAMILY DISTURBANCE,30.22676056,-97.74391451,2024
CRIMINAL MISCHIEF,30.22700741,-97.7265264,2024
CRIMINAL MISCHIEF,30.19724171,-97.77981236,2024
POSSESSION OF MARIJUANA,30.39589706,-97.72511373,2024
BURGLARY OF RESIDENCE,30.26744445,-97.73553891,2024
ASSAULT WITH INJURY,30.35311511,-97.70718548,2024
THEFT,30.26735144,-97.73909331,2024
SEXUAL ASSAULT W/ OBJECT,,,2024
BURGLARY OF RESIDENCE,30.43620865,-97.74738063,2024
VIOL OF PROTECTIVE ORDER,30.30161114,-97.65044897,2024
DOC DISCHARGE GUN - PUB PLACE,30.35686046,-97.70138438,2024
FAMILY DISTURBANCE,30.37065457,-97.73719623,2024
BURGLARY NON RESIDENCE,30.34642097,-97.67688683,2024
CRIMINAL MISCHIEF,30.12758257,-97.80043933,2024
CRIMINAL MISCHIEF,30.22706771,-97.72624606,2024
THEFT FROM PERSON,30.23231434,-97.73689245,2024
FAMILY DISTURBANCE,30.14313646,-97.79994001,2024
UNLAWFUL CARRYING WEAPON,30.28417553,-97.68372112,2024
ASSAULT BY THREAT,30.30179097,-97.64892252,2024
THEFT OF METAL,30.23739659,-97.87071473,2024
ASSAULT BY CONTACT FAM/DATING,30.3442961,-97.70242482,2024
CRIMINAL TRESPASS,30.31639292,-97.70614651,2024
AGG ASSAULT,30.39755798,-97.61603146,2024
ASSAULT WITH INJURY,30.36764088,-97.71692706,2024
POSS CONTROLLED SUB/NARCOTIC,30.31995698,-97.6887367,2024
ASSAULT WITH INJURY,30.26768257,-97.74145762,2024
THEFT FROM PERSON,30.27044469,-97.74830369,2024
ASSAULT WITH INJURY,30.23861947,-97.89871878,2024
BURGLARY OF VEHICLE,30.18153143,-97.84472427,2024
DRIVING WHILE INTOX / FELONY,30.22954718,-97.78895401,2024
THEFT BY SHOPLIFTING,30.30178349,-97.69866762,2024
POSS OF FIREARM BY FELON,30.22923453,-97.78830663,2024
BURGLARY OF VEHICLE,30.21584535,-97.74123665,2024
INDECENT EXPOSURE,30.37418591,-97.73569596,2024
POSS OF DRUG PARAPHERNALIA,30.21279243,-97.77804594,2024
BURGLARY OF VEHICLE,30.21729993,-97.69088863,2024
POSS CONTROLLED SUB/NARCOTIC,30.22923453,-97.78830663,2024
FAMILY DISTURBANCE,30.4287284,-97.69699068,2024
FAMILY DISTURBANCE,30.24791742,-97.87736168,2024
AGG ASSAULT,30.26864782,-97.68669166,2024
AGG FORCED SODOMY,,,2024
DWI,30.23872191,-97.75332768,2024
BURGLARY OF VEHICLE,30.32619351,-97.69534738,2024
ASSAULT WITH INJURY,30.20200809,-97.6668813,2024
DWI 2ND,30.2651531,-97.73335415,2024
HARASSMENT,30.20973654,-97.75661927,2024
DATING DISTURBANCE,30.26271072,-97.68607182,2024
AUTO THEFT,30.39605838,-97.66739371,2024
ASSAULT WITH INJURY,30.41400576,-97.7086714,2024
ASSAULT WITH INJURY,30.22049182,-97.76038922,2024
THEFT,30.2996365,-97.64546733,2024
AUTO THEFT,30.26389925,-97.72619566,2024
AUTO THEFT,30.38938862,-97.7662405,2024
BURGLARY OF RESIDENCE,30.31276384,-97.6665217,2024
BURGLARY NON RESIDENCE,30.35249301,-97.67525444,2024
CRIMINAL MISCHIEF-NO SUSPECT,30.30046387,-97.71965158,2024
THEFT,30.33915243,-97.69116575,2024
FAMILY DISTURBANCE,30.4268661,-97.73487284,2024
BURGLARY NON RESIDENCE,30.30635266,-97.70916489,2024
BURGLARY OF VEHICLE,30.19539517,-97.78320775,2024
DWI - CHILD PASSENGER,30.22469611,-97.69811954,2024
CRIMINAL MISCHIEF,30.46721421,-97.78691606,2024
FAMILY DISTURBANCE/PARENTAL,30.26052444,-97.72659411,2024
FAMILY DISTURBANCE,30.40386925,-97.69800365,2024
AUTO THEFT,30.27508235,-97.74370206,2024
ASSAULT ON PEACE OFFICER,30.29785419,-97.70299986,2024
CRIMINAL MISCHIEF,30.26991684,-97.69701824,2024
BURGLARY OF VEHICLE,30.18153143,-97.84472427,2024
BURGLARY OF VEHICLE,30.1889132,-97.8573527,2024
DEADLY CONDUCT,30.22790898,-97.73624758,2024
AGG ASSAULT,30.43988962,-97.77281162,2024
DWI,30.4213732,-97.7472423,2024
CRASH/FAIL STOP AND RENDER AID,30.16548757,-97.78952006,2024
BURGLARY OF VEHICLE,30.23571508,-97.74076035,2024
BURGLARY OF RESIDENCE,30.28173801,-97.77133431,2024
FAMILY DISTURBANCE,30.17157098,-97.6295683,2024
DWI,30.39866627,-97.67086251,2024
FAMILY DISTURBANCE,30.36794147,-97.71507925,2024
THEFT,30.26505253,-97.7683457,2024
PROTECTIVE ORDER,,,2024
THEFT BY SHOPLIFTING,30.26743058,-97.74354926,2024
VIOL OF PROTECTIVE ORDER,30.22357444,-97.70121906,2024
CRIMINAL MISCHIEF,30.22086455,-97.83308588,2024
FAMILY DISTURBANCE,30.20200809,-97.6668813,2024
POSS OF DRUG PARAPHERNALIA,30.26654723,-97.73618725,2024
VIOL CITY ORDINANCE - OTHER,30.44034282,-97.66939366,2024
VIOL CITY ORDINANCE - OTHER,30.32110649,-97.69099732,2024
POSS CONTROLLED SUB/NARCOTIC,30.35569732,-97.69644332,2024
ASSAULT WITH INJURY,30.19224556,-97.73937179,2024
DWI - DRUG RECOGNITION EXPERT,30.20252852,-97.78454246,2024
DEL CONTROLLED SUB/NARCOTIC,30.36637225,-97.70465182,2024
CRIMINAL TRESPASS,30.26215759,-97.71914244,2024
CRIMINAL MISCHIEF,30.28971922,-97.67569963,2024
THEFT BY SHOPLIFTING,30.39283702,-97.74417834,2024
AUTO THEFT,30.30327942,-97.72974687,2024
FAMILY DISTURBANCE,30.42582764,-97.69168419,2024
DWI  .15 BAC OR ABOVE,30.30965417,-97.66630649,2024
FAMILY DISTURBANCE,30.26451017,-97.76159559,2024
DISTURBANCE - OTHER,30.25729652,-97.73693665,2024
DISTURBANCE - OTHER,30.38347587,-97.70917248,2024
CRIMINAL TRESPASS,30.22924532,-97.79009583,2024
FAMILY DISTURBANCE,30.19299708,-97.76505365,2024
PROTECTIVE ORDER,,,2024
FAMILY DISTURBANCE,30.40493927,-97.74789574,2024
FAMILY DISTURBANCE,,,2024
BURGLARY OF VEHICLE,30.35547286,-97.73354229,2024
POSS OF DRUG PARAPHERNALIA,30.22247928,-97.7641747,2024
BURGLARY OF VEHICLE,30.21201188,-97.75215373,2024
AUTO THEFT,30.40934374,-97.69873297,2024
EVADING VEHICLE,30.30550304,-97.61922895,2024
CRIMINAL MISCHIEF,30.25255839,-97.76453069,2024
ASSAULT WITH INJURY,30.26523839,-97.74000556,2024
AUTO THEFT,30.42798425,-97.75800809,2024
AUTO THEFT,30.22857469,-97.69400713,2024
CRIMINAL TRESPASS,30.29959702,-97.67403299,2024
CRIMINAL TRESPASS,30.29598959,-97.77860697,2024
AUTO THEFT,30.27239714,-97.71644745,2024
BURGLARY NON RESIDENCE,30.34887091,-97.6852326,2024
DWI,30.26930246,-97.73615748,2024
POSS CONTROLLED SUB/OTHER,30.30568833,-97.68222707,2024
ASSAULT ON PUBLIC SERVANT,30.30416717,-97.70156941,2024
AUTO THEFT,30.25042535,-97.74872875,2024
