Highest Offense Description,Latitude,Longitude,year
AUTO THEFT,30.35627407,-97.75538445,2023
CRIMINAL MISCHIEF,30.18495942,-97.74995437,2023
FAMILY DISTURBANCE,30.38973342,-97.64647729,2023
AUTO THEFT,30.39785078,-97.66153467,2023
THEFT,30.34064472,-97.7159184,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.43679083,-97.77395725,2023
DWI  .15 BAC OR ABOVE,30.47104169,-97.79798512,2023
THEFT,30.21962922,-97.82841821,2023
ASSAULT WITH INJURY,30.41808717,-97.66650835,2023
POSSESSION OF MARIJUANA,30.38535255,-97.707605,2023
THEFT,30.20200809,-97.6668813,2023
BURGLARY NON RESIDENCE,30.45556785,-97.79114454,2023
FAMILY DISTURBANCE,30.40514245,-97.64220521,2023
HARASSMENT,30.13173226,-97.79375578,2023
CRIMINAL MISCHIEF-NO SUSPECT,30.28303592,-97.72226575,2023
DWI,30.2099993,-97.66061554,2023
FAMILY DISTURBANCE,30.46703249,-97.81031129,2023
AGG ROBBERY/DEADLY WEAPON,30.3442961,-97.70242482,2023
DATING DISTURBANCE,30.38322269,-97.64986915,2023
DWI  .15 BAC OR ABOVE,30.29774078,-97.6417642,2023
CRIMINAL MISCHIEF,30.34295693,-97.69828512,2023
AUTO THEFT,30.24382848,-97.89510623,2023
BURGLARY NON RESIDENCE,30.21382702,-97.75542714,2023
VIOL CITY ORDINANCE - WRECKER,30.38733347,-97.74390101,2023
BURGLARY OF VEHICLE,30.33058548,-97.67614971,2023
FAMILY DISTURBANCE,30.31084532,-97.72418554,2023
AUTO THEFT,30.27780071,-97.70618912,2023
DWI,30.22027177,-97.69349294,2023
AUTO THEFT,30.1927949,-97.73865734,2023
BURGLARY OF VEHICLE,30.18444161,-97.85367476,2023
CRIMINAL MISCHIEF-NO SUSPECT,30.39605838,-97.66739371,2023
AUTO THEFT,30.23597678,-97.71859048,2023
AUTO THEFT,30.23154675,-97.72604914,2023
PAROLE VIOL,30.35791759,-97.71486928,2023
THEFT,30.31365218,-97.70554274,2023
BURGLARY OF VEHICLE,30.32538241,-97.7264207,2023
INTERFERENCE PUBLIC DUTIES,30.26689113,-97.73958729,2023
CRIMINAL TRESPASS,30.29621959,-97.74320147,2023
FRAUD - OTHER,30.35088129,-97.74749266,2023
ASSAULT ON PEACE OFFICER,30.40120965,-97.72289492,2023
AUTO THEFT,30.34949994,-97.69667299,2023
CRIMINAL MISCHIEF,30.40000581,-97.85056091,2023
AUTO THEFT,30.22826919,-97.74684491,2023
CRIMINAL MISCHIEF,30.24881689,-97.85964342,2023
THEFT FROM PERSON,30.41415219,-97.70668725,2023
AUTO THEFT,30.35836724,-97.74937881,2023
DWI,30.44268296,-97.6642088,2023
BURGLARY OF VEHICLE,30.24081284,-97.81738088,2023
DATING DISTURBANCE,30.24030929,-97.72645242,2023
BURGLARY OF VEHICLE,30.26366923,-97.7711009,2023
MAIL THEFT,30.15500947,-97.72491412,2023
AUTO THEFT,30.28514742,-97.75797492,2023
CHILD CUSTODY INTERFERE,30.27270295,-97.72483619,2023
ASSAULT BY CONTACT,30.23820927,-97.72624303,2023
CRIMINAL MISCHIEF,30.35124739,-97.79625327,2023
POSS CONTROLLED SUB/NARCOTIC,30.19049955,-97.76943208,2023
RESISTING ARREST OR SEARCH,30.31639292,-97.70614651,2023
CRIMINAL TRESPASS,30.24194743,-97.77565264,2023
FAMILY DISTURBANCE,30.40336887,-97.72371537,2023
FAMILY DISTURBANCE,30.3358121,-97.70649282,2023
CRIMINAL MISCHIEF,30.2344781,-97.87770978,2023
CRIMINAL MISCHIEF,30.22250974,-97.76487063,2023
BURGLARY OF VEH-NO SUSPECT/FU,30.24382848,-97.89510623,2023
BURGLARY OF RESIDENCE,30.35701525,-97.65084566,2023
ASSAULT WITH INJURY,30.19071124,-97.74305704,2023
BURGLARY OF VEHICLE,30.25112919,-97.7614261,2023
FAMILY DISTURBANCE,30.22976286,-97.78956594,2023
FAMILY DISTURBANCE,30.39151787,-97.83947264,2023
THEFT OF BICYCLE,30.28002471,-97.72161201,2023
AUTO THEFT,30.19139265,-97.7655522,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.31852376,-97.70960425,2023
THEFT,30.27587914,-97.74407044,2023
BURGLARY OF VEHICLE,30.18153143,-97.84472427,2023
AUTO THEFT,30.19031623,-97.76659708,2023
THEFT BY SHOPLIFTING,30.27192931,-97.7529155,2023
POSS CONTROLLED SUB/NARCOTIC,30.2271802,-97.70590961,2023
TERRORISTIC THREAT,30.35683458,-97.6171724,2023
BURGLARY OF VEH-NO SUSPECT/FU,30.18444161,-97.85367476,2023
POSS CONTROLLED SUB/NARCOTIC,30.22110956,-97.67151624,2023
BURGLARY OF VEHICLE,30.3984947,-97.67984008,2023
THEFT OF SERVICE,30.27280132,-97.64942445,2023
ARSON-CRIMINAL MISCHIEF,30.19029576,-97.73327898,2023
ARSON-CRIMINAL MISCHIEF,30.18845733,-97.73294854,2023
THEFT,30.40034304,-97.74610258,2023
CRIMINAL TRESPASS/IN VEHICLE,30.39459975,-97.7447116,2023
BURGLARY OF VEHICLE,30.47915637,-97.79679352,2023
POSS OF DRUG PARAPHERNALIA,30.27072489,-97.74107176,2023
DATING DISTURBANCE,30.34584492,-97.61475464,2023
CRIMINAL MISCHIEF,30.19360981,-97.9086132,2023
ARSON-VIOL CITY ORDINANCE,30.27787948,-97.74207112,2023
BURGLARY OF VEHICLE,30.28461682,-97.76127222,2023
TERRORISTIC THREAT,30.47198236,-97.80217067,2023
CRIMINAL MISCHIEF,30.29774972,-97.64467995,2023
AGG ASSAULT,30.36205021,-97.68640582,2023
CRIMINAL TRESPASS,30.45208165,-97.78579535,2023
BURGLARY OF VEHICLE,30.3365449,-97.69155742,2023
DATING DISTURBANCE,30.2687184,-97.7420857,2023
THEFT,30.27020584,-97.74968842,2023
FAMILY DISTURBANCE,30.26973339,-97.73692853,2023
CRIMINAL MISCHIEF-NO SUSPECT,30.43830904,-97.77892883,2023
FRAUD - OTHER,30.28522926,-97.71047757,2023
CRIMINAL MISCHIEF-NO SUSPECT,30.31657139,-97.65482949,2023
FAMILY DISTURBANCE,30.21282097,-97.71263681,2023
CRUELTY TO ANIMALS,30.22563859,-97.7850601,2023
ASSAULT BY THREAT,30.4161671,-97.69536988,2023
CRIMINAL MISCHIEF,30.26587973,-97.73500753,2023
FAMILY DISTURBANCE,30.18749565,-97.83675742,2023
THEFT FROM PERSON,30.26618573,-97.73558546,2023
DAMAGE CITY PROP,,,2023
ASSAULT WITH INJURY,30.26706762,-97.73933857,2023
VIOL OF EMERG PROTECTIVE ORDER,30.20264034,-97.77030358,2023
THEFT,30.47048498,-97.78986187,2023
THEFT BY SHOPLIFTING,30.3109166,-97.73270124,2023
AUTO THEFT,30.31684209,-97.70055798,2023
CRIMINAL MISCHIEF,30.2156655,-97.70354685,2023
AUTO THEFT,30.32576139,-97.71519031,2023
FAMILY DISTURBANCE,30.17952332,-97.77026779,2023
THEFT BY SHOPLIFTING,30.39160411,-97.7324475,2023
FAMILY DISTURBANCE,30.23307103,-97.7360961,2023
AUTO THEFT,30.18062279,-97.64656506,2023
POSSESSION OF MARIJUANA,30.15939854,-97.78993985,2023
RESISTING ARREST OR SEARCH,30.26735144,-97.73909331,2023
CRIMINAL MISCHIEF,30.34295693,-97.69828512,2023
CRIMINAL MISCHIEF,30.31935221,-97.73014061,2023
ASSAULT WITH INJURY,30.23686221,-97.73900643,2023
AUTO THEFT,30.35627407,-97.75538445,2023
UNLAWFUL CARRYING WEAPON,30.35454053,-97.61924136,2023
AUTO THEFT,30.40943014,-97.71868998,2023
ASSAULT BY THREAT,30.486125,-97.80428875,2023
AUTO THEFT,30.2156655,-97.70354685,2023
THEFT,30.27036314,-97.75039714,2023
FAMILY DISTURBANCE,30.17857453,-97.81936855,2023
BURGLARY NON RESIDENCE,30.26529698,-97.74916709,2023
TERRORISTIC THREAT-MASS CASLTY,30.35751275,-97.75502469,2023
BURGLARY OF VEH-NO SUSPECT/FU,30.31684209,-97.70055798,2023
THEFT,30.37685798,-97.67336157,2023
CRIMINAL MISCHIEF,30.34264745,-97.71769372,2023
AUTO THEFT,30.13173226,-97.79375578,2023
THEFT OF BICYCLE,30.21714698,-97.85321203,2023
FAMILY DISTURBANCE,30.34664576,-97.69657342,2023
THEFT FROM PERSON,30.26814826,-97.74286145,2023
AUTO THEFT,30.33753602,-97.72181485,2023
THEFT OF LICENSE PLATE,30.20939241,-97.80684396,2023
BURGLARY OF VEHICLE,30.18444161,-97.85367476,2023
BURGLARY NON RESIDENCE,30.3433658,-97.69997996,2023
BURGLARY OF VEHICLE,30.26628759,-97.73586154,2023
POSS CONTROLLED SUB/NARCOTIC,30.16348291,-97.78718321,2023
CRIMINAL MISCHIEF,30.26328787,-97.72926648,2023
AUTO THEFT,30.2156655,-97.70354685,2023
DATING DISTURBANCE,30.26885548,-97.73975314,2023
FAMILY DISTURBANCE,30.43494008,-97.84006297,2023
BURGLARY OF VEHICLE,30.31915358,-97.73105898,2023
CRIMINAL MISCHIEF,30.35562397,-97.75574434,2023
THEFT FROM PERSON,30.26618573,-97.73558546,2023
THEFT OF LICENSE PLATE,30.16962853,-97.78711941,2023
FAMILY DISTURBANCE,30.30179097,-97.64892252,2023
BURGLARY OF VEHICLE,30.40943014,-97.71868998,2023
AUTO THEFT,30.23500158,-97.77930808,2023
THEFT,30.27220461,-97.69806164,2023
CRIMINAL TRESPASS,30.22266307,-97.66964285,2023
ASSAULT WITH INJURY,30.26760113,-97.74015122,2023
AUTO THEFT,30.29533804,-97.67462893,2023
BURGLARY OF VEHICLE,30.40980519,-97.71482754,2023
DISTURBANCE - OTHER,30.36082221,-97.67053071,2023
THEFT,30.26144862,-97.74110221,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.25442752,-97.72675872,2023
FAMILY DISTURBANCE,30.29470794,-97.69899071,2023
FAMILY DISTURBANCE,30.41098638,-97.74471265,2023
AUTO THEFT,30.23770202,-97.72794185,2023
ASSAULT BY THREAT,30.32085369,-97.70935384,2023
THEFT,30.16970857,-97.79280845,2023
FAMILY DISTURBANCE,30.24509135,-97.76480852,2023
INVASIVE VISUAL RECORDING,,,2023
THEFT OF METAL,30.31813447,-97.69907077,2023
CRIMINAL MISCHIEF,30.26342585,-97.73145528,2023
DISTURBANCE - OTHER,30.22803739,-97.69890253,2023
EXPLOSIVE ORDNANCE DISPOSAL,30.33486378,-97.70826572,2023
CRIMINAL MISCHIEF,30.22504044,-97.7029622,2023
CRIMINAL MISCHIEF,30.37328688,-97.6127249,2023
ARSON,30.19376123,-97.74142072,2023
BURGLARY OF VEHICLE,30.23973812,-97.71651521,2023
CRIMINAL TRESPASS,30.17145824,-97.8001883,2023
THEFT,30.44139787,-97.74748262,2023
BURGLARY NON RESIDENCE,30.17665705,-97.78470887,2023
EVADING VEHICLE,30.20288148,-97.75191323,2023
BURGLARY OF RESIDENCE,30.28847372,-97.64512532,2023
AUTO THEFT,30.32727762,-97.74135315,2023
BURGLARY NON RESIDENCE,30.40219744,-97.72115796,2023
CRUELTY TO ANIMALS,30.3447253,-97.70042168,2023
THEFT BY SHOPLIFTING,30.30178349,-97.69866762,2023
FAMILY DISTURBANCE,30.3212646,-97.68346668,2023
FAMILY DISTURBANCE,30.42004712,-97.84416748,2023
THEFT,30.16962853,-97.78711941,2023
THEFT,30.30698583,-97.73552369,2023
THEFT OF TRAILER,30.36993463,-97.72800448,2023
HARASSMENT,30.29310091,-97.73465186,2023
INVASIVE VISUAL RECORDING,,,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.28113543,-97.71041451,2023
AUTO THEFT,30.23752994,-97.68455113,2023
AUTO THEFT,30.37073157,-97.72080492,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.22842038,-97.70992361,2023
VIOL CITY ORDINANCE - WRECKER,30.3805642,-97.65216055,2023
DWI,30.33445341,-97.6074055,2023
THEFT,30.32029813,-97.69541662,2023
FAMILY DISTURBANCE,30.2366514,-97.75923017,2023
BURGLARY OF VEHICLE,30.19146483,-97.78651546,2023
THEFT,30.26144862,-97.74110221,2023
THEFT,30.23783528,-97.71317116,2023
BURGLARY OF VEHICLE,30.16231536,-97.78877116,2023
BURGLARY OF RESIDENCE,30.21855831,-97.79151412,2023
FAMILY DISTURBANCE,30.42004712,-97.84416748,2023
BURGLARY NON RESIDENCE,30.29489521,-97.74299296,2023
THEFT OF BICYCLE,30.25556793,-97.71672615,2023
AUTO THEFT,30.23420457,-97.73272716,2023
CHILD CUSTODY INTERFERE,30.13521203,-97.76869294,2023
FAMILY DISTURBANCE,30.39295402,-97.67684845,2023
AUTO THEFT,30.21528909,-97.70182485,2023
BURGLARY NON RESIDENCE,30.24381497,-97.70151948,2023
ASSAULT WITH INJURY,30.25340764,-97.73246656,2023
FAMILY DISTURBANCE,30.27908142,-97.71003618,2023
THEFT,30.27480736,-97.71837843,2023
HARASSMENT,30.3038659,-97.72991489,2023
AUTO THEFT,30.28872115,-97.63974969,2023
THEFT,30.2268396,-97.76025496,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.44814116,-97.77628739,2023
AUTO THEFT,30.16899755,-97.62844063,2023
CRIMINAL MISCHIEF,30.26289286,-97.69757441,2023
AUTO THEFT,30.17048264,-97.62674356,2023
AUTO THEFT,30.20730521,-97.63797611,2023
DEBIT CARD ABUSE,30.24911365,-97.89217561,2023
DRIVING WHILE INTOX / FELONY,30.42436819,-97.75078626,2023
THEFT FROM AUTO,30.33883718,-97.72452877,2023
BURGLARY OF VEHICLE,30.23848857,-97.76566832,2023
FALSE ALARM OR REPORT,30.3230732,-97.70063208,2023
BURGLARY OF RESIDENCE,30.38417754,-97.74574641,2023
AGG ASSAULT,30.27877743,-97.67195099,2023
CRIMINAL MISCHIEF,30.22903056,-97.7878686,2023
THEFT BY SHOPLIFTING,30.47332505,-97.79564838,2023
ESCAPE FROM CUSTODY,30.39687491,-97.71748532,2023
BURGLARY OF VEHICLE,30.18153143,-97.84472427,2023
BURGLARY OF VEHICLE,30.40400291,-97.72446291,2023
DEBIT CARD ABUSE,30.3984947,-97.67984008,2023
IDENTITY THEFT,30.27708013,-97.68428029,2023
FAMILY DISTURBANCE,30.35851647,-97.68549742,2023
BURGLARY OF RESIDENCE,30.43642703,-97.73341209,2023
HARASSMENT,30.22438247,-97.72917527,2023
FAMILY DISTURBANCE,30.35712752,-97.67101646,2023
CRIMINAL TRESPASS,30.29067402,-97.72674331,2023
CHILD CUSTODY INTERFERE,30.21837753,-97.75591056,2023
BURGLARY OF VEHICLE,30.40168382,-97.72673719,2023
BURGLARY OF VEHICLE,30.44469193,-97.78470828,2023
CRIMINAL MISCHIEF,30.35791759,-97.71486928,2023
FAMILY DISTURBANCE,30.22361671,-97.73128302,2023
CRIMINAL MISCHIEF,30.21221477,-97.88964065,2023
CRIMINAL MISCHIEF,30.37872116,-97.75422924,2023
EVADING VEHICLE,30.18818985,-97.76397206,2023
THEFT,30.2268396,-97.76025496,2023
THEFT FROM PERSON,30.27020584,-97.74968842,2023
FAMILY DISTURBANCE,30.23653697,-97.71329824,2023
THEFT,30.27228016,-97.70589257,2023
DAMAGE CITY PROP,30.20911328,-97.6529641,2023
HARASSMENT,30.45343338,-97.81766095,2023
FALSE ALARM OR REPORT,30.3198323,-97.70796135,2023
BURGLARY OF VEHICLE,30.45864756,-97.79236176,2023
CRED CARD ABUSE - OTHER,30.27020584,-97.74968842,2023
FAMILY DISTURBANCE,30.15417217,-97.83176023,2023
BURGLARY OF RESIDENCE,30.43529881,-97.73039863,2023
FAMILY DISTURBANCE,30.35905154,-97.71463869,2023
FAMILY DISTURBANCE,30.22249994,-97.70447557,2023
BURGLARY OF VEHICLE,30.44469193,-97.78470828,2023
THEFT,30.2692195,-97.73708494,2023
BURGLARY OF VEHICLE,30.26156218,-97.71948173,2023
BURGLARY OF RESIDENCE,30.35907163,-97.69481921,2023
THEFT FROM PERSON,30.27036314,-97.75039714,2023
THEFT FROM PERSON,30.27020584,-97.74968842,2023
THEFT FROM PERSON,30.27020584,-97.74968842,2023
CRIMINAL TRESPASS,30.2285169,-97.78748624,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.43680775,-97.7731506,2023
THEFT,30.26706762,-97.73933857,2023
AUTO THEFT,30.19394123,-97.76344868,2023
THEFT,30.28452108,-97.69968388,2023
BURGLARY NON RESIDENCE,30.24117211,-97.78629419,2023
MISAPPLY FIDUCIARY PROP,30.14861475,-97.74440664,2023
IDENTITY THEFT,30.25918458,-97.71618458,2023
POSS CONTROLLED SUB/NARCOTIC,30.29930666,-97.67369234,2023
VIOL OF PROTECTIVE ORDER,30.18264356,-97.76882694,2023
AUTO THEFT,30.27225743,-97.72132783,2023
HARASSMENT,30.22845755,-97.88286692,2023
AUTO THEFT,30.30950814,-97.72443091,2023
HARASSMENT,30.25679173,-97.75142551,2023
MAIL THEFT,30.17368492,-97.8063974,2023
AUTO THEFT,30.34646485,-97.70759485,2023
BURGLARY OF VEHICLE,30.20863851,-97.85638165,2023
FRAUD - OTHER,30.31365299,-97.68313679,2023
THEFT,30.32212322,-97.67923606,2023
AUTO THEFT,30.33058548,-97.67614971,2023
THEFT,30.22478271,-97.69497855,2023
MAIL THEFT,30.20747064,-97.80604244,2023
CHILD CUSTODY INTERFERE,30.21468574,-97.84882601,2023
HARBORING RUNAWAY CHILD,30.22438247,-97.72917527,2023
BURGLARY OF VEHICLE,30.22813316,-97.73116767,2023
RECKLESS DAMAGE,30.42062682,-97.68635231,2023
THEFT BY SHOPLIFTING,30.41641687,-97.74545854,2023
POSS CONTROLLED SUB/NARCOTIC,30.28946836,-97.70783014,2023
STALKING,30.38109435,-97.70609675,2023
IDENTITY THEFT,30.33786402,-97.68098138,2023
CRIMINAL TRESPASS,30.33810305,-97.71240114,2023
BURGLARY OF VEHICLE,30.34257709,-97.73832602,2023
CRIMINAL MISCHIEF,30.34983595,-97.69736465,2023
MAIL THEFT,30.17622852,-97.77976619,2023
FAMILY DISTURBANCE,30.37925879,-97.65326272,2023
BURGLARY OF VEHICLE,30.44469193,-97.78470828,2023
THEFT,30.39443036,-97.72737746,2023
CRUELTY TO ANIMALS,30.3447253,-97.70042168,2023
BURGLARY OF VEH-NO SUSPECT/FU,30.40652921,-97.67747707,2023
BURGLARY OF VEHICLE,30.22840368,-97.71838693,2023
AUTO THEFT,30.23973812,-97.71651521,2023
THEFT FROM PERSON,30.27020584,-97.74968842,2023
DWI  .15 BAC OR ABOVE,30.2162305,-97.74627423,2023
BURGLARY OF RESIDENCE,30.43642703,-97.73341209,2023
THEFT FROM PERSON,30.26678659,-97.73917819,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.43679083,-97.77395725,2023
HARASSMENT,30.39502961,-97.72736126,2023
CRIMINAL MISCHIEF,30.25945029,-97.69628068,2023
ASSAULT WITH INJURY,30.23581695,-97.72262067,2023
THEFT,30.16586705,-97.90869205,2023
THEFT,30.30046387,-97.71965158,2023
BURGLARY OF VEHICLE,30.18444161,-97.85367476,2023
EVADING / FOOT,30.26885193,-97.73428432,2023
ASSAULT WITH INJURY,30.23989895,-97.72953607,2023
AUTO THEFT,30.30743627,-97.72371348,2023
ASSAULT BY THREAT,30.27515598,-97.70101677,2023
BURGLARY OF VEHICLE,30.42045724,-97.74887586,2023
CRIMINAL MISCHIEF,30.39443036,-97.72737746,2023
THEFT OF LICENSE PLATE,30.19080586,-97.87593557,2023
MAIL THEFT,30.24308853,-97.74143034,2023
THEFT,30.35850633,-97.6999662,2023
CRIMINAL MISCHIEF,30.23207315,-97.76572169,2023
GRAFFITI,30.35712752,-97.67101646,2023
CRIMINAL TRESPASS,30.30178349,-97.69866762,2023
BURGLARY OF VEHICLE,30.24081284,-97.81738088,2023
MAIL THEFT,30.31763378,-97.69852966,2023
MAIL THEFT,30.18167427,-97.77743163,2023
CRIMINAL MISCHIEF,30.25983077,-97.7097228,2023
ASSAULT WITH INJURY,30.18831928,-97.76631138,2023
DISTURBANCE - OTHER,30.42130305,-97.6959529,2023
THEFT FROM PERSON,30.27020584,-97.74968842,2023
CRIMINAL MISCHIEF,30.47332505,-97.79564838,2023
CRIMINAL MISCHIEF,30.37325143,-97.71233722,2023
FAMILY DISTURBANCE,30.39242346,-97.74985889,2023
CRIMINAL TRESPASS,30.26242009,-97.73515766,2023
FAMILY DISTURBANCE,30.23030176,-97.77588503,2023
DWI,30.26404416,-97.72953441,2023
POSS CONTROLLED SUB/NARCOTIC,30.40120965,-97.72289492,2023
FAMILY DISTURBANCE,30.16104246,-97.79919214,2023
FAMILY DISTURBANCE,30.36259133,-97.71181497,2023
FAMILY DISTURBANCE,30.37065386,-97.71969052,2023
UNLAWFUL CARRYING WEAPON,30.26530279,-97.73653123,2023
FAMILY DISTURBANCE,30.33565181,-97.69453387,2023
FAMILY DISTURBANCE,30.45854522,-97.76317887,2023
AUTO THEFT,30.28569945,-97.6816035,2023
CIVIL DISTURBANCE/DEMO,30.30743627,-97.72371348,2023
POSS CONTROLLED SUB/NARCOTIC,30.40120965,-97.72289492,2023
UNLAWFUL CARRYING WEAPON,30.23926225,-97.81712987,2023
FAMILY DISTURBANCE,30.44477335,-97.78908984,2023
FAILURE TO IDENTIFY,30.26732068,-97.73893254,2023
DISTURBANCE - OTHER,30.35312163,-97.69945674,2023
FAMILY DISTURBANCE,30.2290038,-97.70310131,2023
POSS CONTROLLED SUB/NARCOTIC,,,2023
AUTO THEFT,30.15028477,-97.79551523,2023
THEFT OF LICENSE PLATE,30.3564569,-97.72133111,2023
DOC DISCHARGE GUN - PUB PLACE,30.32578983,-97.69444216,2023
FAMILY DISTURBANCE,30.24803187,-97.73577606,2023
FAMILY DISTURBANCE,30.18167427,-97.77743163,2023
FAMILY DISTURBANCE,30.20524252,-97.75566255,2023
AUTO THEFT,30.33737889,-97.7575572,2023
FAMILY DISTURBANCE,30.35968624,-97.68194486,2023
THEFT,30.40007889,-97.72693605,2023
POSSESSION OF MARIJUANA,30.20034237,-97.79827526,2023
ARSON-CRIMINAL MISCHIEF,30.18845733,-97.73294854,2023
FAMILY DISTURBANCE,30.22478271,-97.69497855,2023
THEFT,30.4705168,-97.80651783,2023
TERRORISTIC THREAT,30.22028617,-97.83529867,2023
DOC DISCHARGE GUN - PUB PLACE,30.23797717,-97.73038294,2023
DWI,30.32959785,-97.58493918,2023
RESISTING ARREST OR SEARCH,30.26289286,-97.69757441,2023
POSSESSION OF MARIJUANA,30.14282457,-97.79474911,2023
AUTO THEFT,30.23334829,-97.73227511,2023
ASSAULT WITH INJURY,30.27027947,-97.75020293,2023
FAMILY DISTURBANCE,30.36620826,-97.74364038,2023
THEFT BY SHOPLIFTING,30.40526665,-97.67189551,2023
THEFT BY SHOPLIFTING,30.44268296,-97.6642088,2023
CRIMINAL MISCHIEF,30.30775956,-97.72851972,2023
FAMILY DISTURBANCE,30.17553146,-97.83025135,2023
EVADING VEHICLE,30.31066808,-97.68829387,2023
THEFT OF METAL,30.31813447,-97.69907077,2023
TERRORISTIC THREAT,30.45556785,-97.79114454,2023
HARASSMENT,30.31909477,-97.69067198,2023
AGG ASSAULT,30.21128768,-97.83687084,2023
ARSON,30.20054111,-97.74742262,2023
FAMILY DISTURBANCE,30.40000581,-97.85056091,2023
AUTO THEFT,30.4295484,-97.64319639,2023
ARSON,30.2632706,-97.74130042,2023
AUTO THEFT,30.27671672,-97.74210233,2023
FALSE ALARM OR REPORT,30.40195292,-97.65197186,2023
EVADING VEHICLE,30.36163026,-97.71068028,2023
FAMILY DISTURBANCE,30.38979111,-97.65120601,2023
FAMILY DISTURBANCE,30.20658982,-97.63730892,2023
THEFT OF METAL,30.14477018,-97.74877849,2023
BURGLARY NON RESIDENCE,30.33764085,-97.69683222,2023
TERRORISTIC THREAT,30.2271802,-97.70590961,2023
ASSAULT BY CONTACT,30.30775956,-97.72851972,2023
AGG ASSAULT,30.37200755,-97.69138848,2023
THEFT BY SHOPLIFTING,30.30178349,-97.69866762,2023
AUTO THEFT,30.40949012,-97.69956669,2023
BURGLARY NON RESIDENCE,30.27553366,-97.63834312,2023
